,Clock_Speed_GHz,Number_of_Cores,Microarchitecture_Efficiency,Cache_Size_MB,ISA_Efficiency,Memory_Bandwidth_GBps,Process_Technology_nm,TDP_Watts,Overclocking_Capability,Parallel_Processing_Support,Manufacturer,Performance_Score
0,2.9363502971184063,3,0.5744284184385157,2.653769450391583,0.878348874031655,35.31214066157094,7.436816241938095,42.41434263663038,0,1,2,94.49889817328773
1,4.37678576602479,2,1.0036917612374445,15.232640116633622,0.8667895494690216,34.02231500772395,11.411471836794995,148.61669044045544,1,1,0,79.38741932963077
2,3.8299848545285125,7,0.6826251302531011,6.392293623825155,1.030230850279368,40.17303205887029,7.550949009579615,106.73776583393666,0,0,2,61.73016919066643
3,3.4966462104925915,6,1.073975175031742,8.196246326542422,0.9853315606185092,27.837026030548532,8.227574617782642,143.84180268848846,0,1,1,65.35215066083482
4,2.3900466011060915,4,1.1374046122611836,3.6049592101998957,1.0640690566587827,29.74378612364947,8.811812170484963,46.940114891278725,0,1,2,75.83154866444048
5,2.3899863008405067,2,1.0567092565528537,13.716940618730089,1.1178507164107125,47.961375087158686,12.241206961651383,74.33389158510263,1,0,0,86.26740529795893
6,2.1452090304204985,5,1.2382955104783075,2.3868456599830288,1.1005229182608707,40.355895363108274,8.147734831726524,50.4027203703633,1,0,0,74.37471051961064
7,4.1654403644373375,7,0.8356092442409013,13.67587066938735,1.1769044694634245,44.79911443313017,12.926424373051475,131.08366777693684,1,1,0,59.46329719149492
8,3.502787529358022,7,1.2651065916331308,3.9639901790315353,0.9593025636628046,28.13335285806289,7.923327571815606,136.23941526437136,1,1,1,85.4065608419003
9,3.7701814444901136,4,0.9327670817081937,14.411897576836129,0.8825546968992724,36.31370569789616,7.246711143491094,92.65084548562734,0,1,2,55.918186553916314
10,2.051461235739506,7,0.9841844983225968,12.216816922706203,1.0203650559791544,49.14188800968495,9.765317932787674,56.4597150311335,0,1,1,90.47036495110947
11,4.424774630404986,5,1.1481021272610714,4.305383675102272,0.8442972480764743,29.561116970846527,13.856091493799067,49.61868143956648,1,0,1,69.78000584525573
12,4.0811066020010545,2,0.518358383999224,9.921451900032555,0.9155404493326526,24.814294289511256,7.7723955945214405,102.63887265922378,1,0,0,82.63552926313139
13,2.5308477766956905,4,1.1539942214202483,6.377188400973072,0.8831552221052578,35.32658024673992,7.712029108277403,93.23327732730957,1,0,0,67.23500769206028
14,2.4545624180177517,7,1.1185851490721155,4.495263384762168,0.9586254867188324,31.634632661746288,12.258165575569368,114.90074677228176,0,0,1,83.45367657752385
15,2.4585112746335844,7,0.8098471167532799,14.028550791755517,0.8444866300008862,24.787316983601407,9.185131857954957,70.09883520129898,1,0,1,94.45934556925727
16,2.760605607398844,5,0.5857942848994895,7.649318731101212,0.8127366978192392,46.656541481101044,12.020971320580019,81.27231942780166,1,0,2,85.07021349275539
