,Crop_Diversity_Metrics,Crop_Diversity,Crop_Rotation_Practice,Intercropping_Patterns,Pest_Resistance_Measures,Soil_Type,Temperature_Celsius,Precipitation_mm,Humidity_Percentage,Wind_Speed_kph,Soil_Health_Index,Crop_Yield_Tons_per_Hectare,Crop_Resilience_Index
0,2.49816047538945,Maize,No,Medium,No,Sandy,18.335081096532235,4.09232355212965,63.764152338386715,11.586716893747152,7.3799681415515375,9.832240384351696,4.8975993750718505
1,4.802857225639665,Millet,No,Medium,No,Clayey,24.761017878710415,2.7537757181157287,51.72224911480464,8.522224864078778,8.19261388353577,9.33859000706626,2.1848649213075424
2,3.9279757672456204,Millet,Yes,Low,No,Clayey,15.446966949100796,9.90046540351415,64.00792594881872,11.92884854760137,6.022589226560347,7.432081695209793,3.4300205201959377
3,3.3946339367881464,Wheat,No,Low,Yes,Clayey,18.718532438832877,3.9799619565450572,59.80647749962346,12.327342537040316,6.575901606742824,6.237757943897526,2.110296256490858
4,1.624074561769746,Rice,Yes,High,No,Loamy,28.575145757764727,7.888468991316159,43.94458058390154,11.87139278113065,7.36984513793752,1.0407654241142281,3.923544872451132
5,1.6239780813448106,Millet,No,High,Yes,Sandy,15.91643478651951,2.1054559333155676,37.412500017742545,14.29883610485967,7.195846254426554,6.71757294601527,3.06334566102636
6,1.2323344486727978,Wheat,No,Medium,No,Loamy,25.894395065294198,2.4704120860874967,52.68879249247149,15.191056779134062,7.5467399528308,7.951701668662563,2.0516983302374037
7,4.46470458309974,Maize,No,Low,No,Sandy,13.156337449647328,5.683913671847433,67.43426822510267,10.939180936844572,8.647078057950928,7.59588071185198,3.013677946486145
8,3.404460046972835,Maize,Yes,High,No,Clayey,13.566434925144952,0.04028269702193499,63.57660827096547,10.055475682521148,2.9846477638059334,2.548579856222659,2.4065436566772616
9,3.832290311184182,Maize,Yes,High,Yes,Loamy,19.123057469525314,0.17425461908900042,60.55341970387905,10.526019266553213,2.932583574797422,5.900803871878349,1.9986522355702085
10,1.0823379771832098,Maize,No,Low,Yes,Loamy,14.682045009327727,1.4221872114952816,60.56696327163911,6.052722950955809,9.736141744797754,5.951781905060714,3.371184997073399
11,4.879639408647977,Wheat,No,Medium,Yes,Loamy,28.060561475885205,2.2312104103096306,51.1101318160413,9.824461293419954,8.661885904759934,6.875941741133201,3.5529871115628935
12,4.329770563201687,Rice,Yes,High,Yes,Clayey,11.015045822469556,5.2784951579977175,36.781054750403754,7.99868969264802,6.325346218215881,8.47850513879316,1.5619499264225292
13,1.8493564427131046,Wheat,Yes,High,No,Sandy,21.945451322876792,6.862294308161264,41.4217824188336,9.362602580954249,1.0736091693359002,7.284077629619896,4.716634110004859
14,1.7272998688284025,Rice,Yes,Low,No,Clayey,22.084587922990398,3.1187866398802564,53.11571355132671,15.71595651061367,8.692824079836479,2.2717513800812297,1.0266079938036383
15,1.7336180394137353,Maize,No,Low,No,Loamy,11.320518550388954,2.3907093600378415,42.65413699788457,19.828076520141394,7.764369133093477,1.171278712727923,2.107739759317165
16,2.216968971838151,Millet,Yes,Medium,Yes,Loamy,24.651284297417824,8.22811178493321,61.26267036107571,18.85329450513931,9.607385646063737,2.229267904003766,2.3733887027543665
17,3.0990257265289514,Millet,Yes,Medium,Yes,Clayey,19.37795089024392,1.627769846806758,44.928670445627624,17.324379717911448,1.1184564190292807,1.3625375886170508,1.2657599458096338
18,2.727780074568463,Millet,Yes,High,No,Loamy,24.46146746989617,6.7832655505788,34.55585918768813,16.057956000907613,1.2567316855254924,4.930960069628332,1.3600117872238426
19,2.1649165607921677,Rice,Yes,Medium,No,Loamy,26.5384997187014,9.313305164158708,61.301774121330894,19.17406473801589,5.657054589356176,3.5537787853587153,4.389752624309363
20,3.447411578889518,Maize,Yes,High,Yes,Sandy,16.45798703981388,2.3221091024274054,57.92520733091608,16.280627687050877,8.70444288359753,1.0657876827376622,2.4473477548407163
21,1.5579754426081673,Wheat,Yes,High,Yes,Sandy,19.689717658709753,0.8696536551614964,40.126274138212004,12.064320056964998,9.921847397433503,1.7225035811289005,2.4610010982613186
22,2.1685785941408726,Millet,Yes,Low,Yes,Sandy,15.215215595360227,9.797588940160104,69.24460918826364,14.020428885755022,3.8802270596462805,4.577883927834431,3.75442445083095
23,2.465447373174767,Rice,No,High,Yes,Sandy,14.0302692704467,2.7077379612125165,46.12758094422662,9.586774566355697,1.3272731729876004,9.45785603936801,3.8971319883389683
