Time,CPU_Load,Memory_Usage,Disk_IO,Net_In,Net_Out,Avg_Response_Time
2024-01-01T00:00:00Z,70.56437670720003,31.75917404703796,33.14689389940102,90.10150997864623,54.07107913990067,96.65469951361145
2024-01-01T01:00:00Z,41.52952742905867,18.523846704512835,47.25358242208312,46.74914127054704,26.12559221881859,94.27540895256352
2024-01-01T02:00:00Z,55.44692617006009,24.797677222639322,56.33894105941294,53.22696077786616,41.358329109072564,107.10455208373851
2024-01-01T03:00:00Z,59.4929390744156,29.33784693479538,62.333893425970444,16.897736248116697,44.2362810067383,78.21591313515377
2024-01-01T04:00:00Z,56.064024847114986,28.01982735656202,29.135506729736083,57.516872964325714,53.47787936293895,87.71827874644941
2024-01-01T05:00:00Z,48.40813225862774,25.626115050166845,65.35872503580164,19.749273386469437,50.451251788486374,95.92534170147368
2024-01-01T06:00:00Z,72.67282996158409,23.52567937783897,23.416339707892206,43.73656494441366,17.03454350445365,117.80513097333287
2024-01-01T07:00:00Z,48.580114423803536,28.22907842323184,22.620735444020976,83.17464155907163,44.09067679264165,90.83428185458509
2024-01-01T08:00:00Z,80.27635570815562,11.831390039995313,50.0059787496214,62.965149015150665,22.32118731312059,113.09734002866347
2024-01-01T09:00:00Z,49.059288514213684,16.728949457406998,82.78140235026667,15.432127823823471,23.557887571903514,89.86753894709949
2024-01-01T10:00:00Z,69.57304481335228,14.60222021304071,57.553897459191255,113.68728573092648,29.900552624883087,110.15604933129681
2024-01-01T11:00:00Z,84.29968089051661,10.995068540796638,66.50001818225624,50.93984256208019,47.94455778705398,119.34948005782442
2024-01-01T12:00:00Z,29.16708948331491,21.57504677772522,34.02630438799621,77.90053537736323,59.846745195376904,106.32256054162045
2024-01-01T13:00:00Z,45.81816849773943,24.157765351235867,51.25615774612481,39.84186870613941,37.700552966115225,79.12835079212599
2024-01-01T14:00:00Z,48.00017995409513,8.040875121951103,52.90785844511014,59.1545358116359,19.240227886672333,81.6162324277986
2024-01-01T15:00:00Z,59.53925597105112,27.222109338268638,71.7360897618613,40.693860554650136,36.79094013498331,104.39163004620588
2024-01-01T16:00:00Z,45.73620617875891,12.75782877765596,44.76054408931027,27.16277250702316,36.88600275850576,97.75720105659471
2024-01-01T17:00:00Z,10.153168686428366,24.00189053453505,35.041212930076256,18.155136326442385,58.94790161911612,59.1365558646401
2024-01-01T18:00:00Z,13.392996071367207,26.90562340989709,42.63854767610427,34.1835123501541,74.09153041185166,61.429511790628325
2024-01-01T19:00:00Z,69.80170018595288,30.852355305105448,43.0935560551286,110.4593465993358,33.44405015077091,104.44983139154085
2024-01-01T20:00:00Z,45.40042108882288,17.184261858463287,16.715693939463996,58.13261723175218,10.863644612187736,98.76271474276896
2024-01-01T21:00:00Z,23.2803734903,20.633064353838563,59.157175904271114,31.16377857595974,26.487674682002798,64.6983108102892
2024-01-01T22:00:00Z,47.42123966360568,17.320498758926988,37.98689616231822,28.7475473609176,49.729602785059406,84.8717327599656
2024-01-01T23:00:00Z,68.22012048758899,11.161462405696511,64.26383932351496,112.27983389423369,21.4650899801044,116.20906930026965
