,Farm_Size_Hectares,Resource_Access,Sustainable_Farming_Practices,Economic_Indicators,Crop_Type,Soil_Texture,Soil_Health_Index,Access_to_Credit,Mode_of_Operation,Household_Income
0,4.370861069626263,Limited,Yes,6.748653306603141,Vegetables,Clayey,7.4211601119442,Yes,Use of animal,2715.4977233422096
1,9.556428757689245,Limited,No,8.623422269834993,Wheat,Silt,5.567802462283427,Yes,Mechanical power,4011.5708009819446
2,7.587945476302646,Abundant,No,5.860591437557546,Maize,Sandy clay,7.020988094017038,No,Use of animal,4885.021519571574
3,6.387926357773329,Limited,No,4.7284916283089435,Beans,Sand,1.9984287026410998,No,Use of animal,3530.350305915835
4,2.4041677639819286,Limited,No,9.794646159354963,Maize,Clayey,5.6696308760448915,Yes,Use of animal,3766.465354386102
5,2.403950683025824,Abundant,Yes,6.2390923373785245,Wheat,Silt loam,4.529975981609983,Yes,Mechanical power,4772.9637903914345
6,1.5227525095137953,Limited,Yes,8.80186224519261,Maize,Silty clay loam,5.066646101503368,Yes,Mechanical power,3066.2177840662903
7,8.795585311974417,Limited,No,9.579631567296609,Beans,Sand,9.695874996498127,No,Use of animal,2279.5995115970554
8,6.41003510568888,Abundant,No,7.078191643077933, Millet,Silty clay loam,2.22660014353203,No,Mechanical power,4685.537026613705
9,7.372653200164409,Abundant,No,5.940448106668074,Rice,Loam,7.7923015877025845,Yes,Use of animal,1275.976435111752
10,1.185260448662222,Moderate,No,1.0315976581958557,Vegetables,Sandy loam,3.9730851475595323,Yes,Use of animal,1858.4318149591727
11,9.72918866945795,Limited,Yes,1.3601767666510538, Millet,Clay loam,3.613221888613861,No,Use of animal,2365.0585891567107
12,8.491983767203795,Moderate,No,2.807660944460047,Wheat,Silt,3.4369965630933876,No,Mechanical power,4128.4464845215625
13,2.9110519961044856,Moderate,Yes,2.674075886703957, Millet,Sandy clay loam,4.139033979006019,No,Mechanical power,4615.605786874212
14,2.636424704863906,Abundant,No,3.292829156798608,Maize,Silty clay loam,4.214053536342455,No,Use of animal,2807.1461990431953
